Item,Description,Qty,Unit Price USD,Total USD,Item link,Why I need it,Supplier,Status,Notes
100nF and 10uF 0805 ceramic,0805 ceramic caps for decoupling and filtering,1,7.99,7.99,https://www.amazon.com/0805-Capacitor-Kits-30values-Multilayer/dp/B0F5QB3S8V/ref=sr_1_3?crid=2Q4KIR32NXMPF&dib=eyJ2IjoiMSJ9.ARmtqGvKVf005NUHeY5zya3OVpexeejCzjUKnNCckJTl7I_3qJ1JRntMlCZed8TqN8KW1D9dsq1WfjzV9hs_TemAEiHBpmTOeJ5-19WoldNGlUaKeK-l75xw9kTSqk24MXoFWrx1Ah4upu18sSOwjxYUslK9CoZ3P3vnJ_B39XKvsdsN8AKMAJ6Vo7gknMH5r-gsr02vuU35J8yJupcMhGF27xuNn0T4nn_eVFIRSd8.QiO9fJSQieueJHiwXl3aDzjgHXHeGq7wPA7mFOMYNcg&dib_tag=se&keywords=100nF+0805+ceramic&qid=1788133392&sprefix=100nf+0805+ceramic%2Caps%2C147&sr=8-3,Every IC needs local decoupling or it browns out on its own switching noise,LCSC,TO BUY,C1 C2 C3 C5 C6 C8
470uF 16V electrolytic,bulk cap that sits at the servo connector. 8mm radial,1,5.99,5.99,https://www.amazon.com/8x11-5mm-Electrolytic-Capacitor-Aluminum-Capacitors/dp/B0F8C43XK9/ref=sr_1_2_sspa?crid=25GWAS4EYZV1O&dib=eyJ2IjoiMSJ9.XnIuPr_qjnOX1DwkRMC95B2UZllfLOoykNUWGzN6KE-O75QhyEoGNkRWQ28FXkI2rquQpxD542XRhW1YkrXl-HW0ce1inH5D3EauUpFbrsZXXvNTWGSbY9BrPAg433bTQmvZ4XIiG9DSvwPriY1cKONa7rD-Rrca5MEtW19vi5VrAT1LuJmLpa3ypAkKrWgIwSS3P5d_AKTM2hzD48YF9XFm_Sj489M6LzucnEKGYkI.z0A4_Yczf-gh2hDsoRikN2QybcYk3gAwfs2HCe3VJKc&dib_tag=se&keywords=470uF%2B16V%2Belectrolytic&qid=1788133440&sprefix=470uf%2B16v%2Belectrolytic%2Caps%2C162&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,A servo current spike becomes a brownout without local bulk,LCSC,TO BUY,Mount at the connector NOT at the regulator. The trace between them is what turns a spike into a brownout
2.54mm pin headers assorted,"the 2x20 female socket for j1 plus 1x02 x4, 1x03 x2, 1x04 x1",1,12.95,12.95,https://www.amazon.com/EGSCST-2-54mm-Connector-Assortment-Breadboard/dp/B0GLHJ3DXH/ref=sr_1_10?crid=22HT1WXDPSG41&dib=eyJ2IjoiMSJ9.0yTO_CBvrUqzyO0GaMu1J8nQwPkpstSpEj-TUv4CQKI0ulI47oG-M_vzhYuRB8NXkH-dbC4oD5jRjOEdyhbx5YV327Ksz7GLUp21JBqG1-z950Bn_kyDrYNYlnyK84-lNYBsZhsaHoGQhbk_v184Fct45kMsVzcUFIO5DcSHAGzGSUVA1L-Fi-NIgDrRyOPXdlsxnoEQDhOpf4BWArgQaB7Gm587TEP3x9_2BXn4hyDudZFiKASbwo77j1-yc07qx5fQVB1Q8BAVMcZd5noCESB65u6QFm7fkGPlZ09Ydn8.nlbhc1kMYByzoYYXyRblo1hjLgwj9fnkaDmqTi9mA-U&dib_tag=se&keywords=2.54mm+pin+headers+assorted%2C1x02+1x03+1x04&qid=1788134709&s=industrial&sprefix=2.54mm+pin+headers+assorted%2C1x02+1x03+1x04%2Cindustrial%2C101&sr=1-10,Every off-board thing plugs in here - load cell servo LED ring break-beam and battery tap,Amazon,TO BUY,Covers all eight connectors including the 2x20 female socket the HAT sits on
Raspberry Pi Camera Module 2,8mp fixed focus camera. shoots the item top down,1,9.49,9.49,https://www.amazon.com/Camera-Arducam-Raspberry-Raspbian-MotionEye/dp/B01LY05LOE/ref=sr_1_4?crid=21F4MNTCLO9C&dib=eyJ2IjoiMSJ9.J9Nthwpd2EPDU2bpYb40cZGJqvfBXmjkv1G9xTYSALnwDvs8FW28nxs6QYXpQbO3AbMZJxsj_iMXOyBP19vEKS-5lshqXapkrSXH_yLkMLFESNzy7r1XaSnZ-uZKFKLOSc-3hLOXFUFwuPSkG_l-fwBS-SnAQHB4OC-15C3Ah7rCErysYSVqDlLCTwmOhWDzAojV77ZmVs2cUFkh4pttXDiYhT_Zsl5Q0KRiWaFGac8.G9J-9vQCerpSpeGDTdjiCISCZZ7xQlQuLllp6Gw8qts&dib_tag=se&keywords=Camera+Module+2&qid=1788138381&sprefix=camera+module+%2Caps%2C157&sr=8-4,Takes the photo the classifier runs on. Nothing sorts without it,Raspberry Pi,TO BUY,Ships with the 22-pin Zero cable. Mount is not modelled in CAD yet
5kg bar load cell,strain gauge bar that weighs the item. 80 x 12.7 x 12.7mm,1,9.98,9.98,https://www.amazon.com/Wishiot-Precision-Miniature-Electronic-Portable/dp/B0C3QH7V8M/ref=sr_1_1_sspa?crid=38W0WC08MKV2O&dib=eyJ2IjoiMSJ9.zYrb4Q3BgGZI5TQiBjj-MK9E0iJPyFjKp6VbN2uzzqguT0S8xUIWZvUXdAprhi3J.emPsQHLCHsJjU6rnP5XDnU3DjQA4BZJ6RckkkX00q_Q&dib_tag=se&keywords=5kg%2Bbar%2Bload%2Bcell&qid=1788136408&sprefix=5kg%2Bbar%2Bload%2Bcell%2Caps%2C182&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,Weight tells you things a photo cannot - a full drink against an empty can look identical to a camera,Amazon,TO BUY,"Buy the CELL ONLY. Kits bundle an HX711 module you do not need - the HAT already has one, and those modules run at 5V not 3.3V"
White LED ring 60mm,"5v white ring that lights the pan. 60mm outer, 44mm inner",1,5.94,5.94,https://www.amazon.com/XJVSS-Car-Halo-Rings-Headlights/dp/B0GX1DMHWS/ref=sr_1_4?crid=2T7V4CC2NJMOH&dib=eyJ2IjoiMSJ9.azTOu80p8xP-AoOAkRY9oX2WoFsjxPZlGWBHSXiqBdcsMYzUp2Ll53HATjJzVeXClYFs1wIwKfVki0__uBf0xl1U64221FaNNuvgeub2N16d4tDgPD6GDz9ErG2e3ah7cWCB6imLJRlgHuIS10JMoYNqvDKtC8WjOx8rYqS5qAuGCDWpraRjdTYs_rFf0rY8Jfp9bZxz5N1InojTpv8y21LMsbjKdzrE1xmcG1kgMry7_hSc8F0_JlYBAU2mq3S8mTMevxomjSpG6d4H-Uq-LCw5pHugf1RVNQBktvKLq10.84gnuBkrVAdcfeTrecPOKr06Rmrp3tiAez0c1si_ywo&dib_tag=se&keywords=White%2BLED%2Bring%2B60mm&qid=1788134886&sprefix=white%2Bled%2Bring%2B60mm%2Caps%2C124&sr=8-4&th=1,Consistent lighting so every photo the classifier sees looks the same. Ambient light in a bin varies wildly,Amazon,TO BUY,Retainer is not modelled in CAD yet MUST be 5V - J7 pin 1 is fed from the +5V rail. A 12V ring will not light
IR break-beam sensor pair,emitter and receiver across the throat. 5mm barrel,1,11.99,11.99,https://www.amazon.com/Sensors-Photoelectric-Switches-Infrared-Modules/dp/B0GWWPDLP9/ref=sr_1_2_sspa?crid=F4TSC8JOHUQT&dib=eyJ2IjoiMSJ9.p9a927egefp923t7Zr1GelqksbPZErE_AJXfJTbG2ssUjudZ20EuCkUAhBtcH8gk2_ABQ9nZNo7mE82kFHzNHjivL1lDa29VGuKQJRZCVJu9cndCP7kcLATNB352Ypm62Rr2I48MqTXxpbDQZD9NuLQrnTfL8tOILJ-EJyFdRKm5BaU8iXy2tD1ox1UNkvCtTQWqZKO06VQi9f9y4_STNQZKRCIzU22BwdsHPk6sOXM.htr7hWV_DxpdN4A9U_LmshV77w_YIa9EjrbDKnmgWg4&dib_tag=se&keywords=IR+break-beam+sensor+pair&qid=1788134944&sprefix=ir+break-beam+sensor+pair%2Caps%2C233&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,The trigger for the whole sequence. Without it the Pi has no idea something arrived,Adafruit 2168 or similar,TO BUY,
608ZZ bearing,skateboard bearing the pan turns on. 22 od x 8 id x 7 w,1,5.19,5.19,https://www.amazon.com/uxcell-Bearings-Electric-Appliances-Machinery/dp/B0DMDJXWJD/ref=sr_1_5?crid=16UHQHCN5SMNP&dib=eyJ2IjoiMSJ9.hJ2IyFth5hwRQ0PhYJp7YtMSkOKv3rDzlm7X0MOkdbK8bOYSn1FCugBly9UtoJUedmFtpbgkQ9xt1RvIq_1oaOz3v-z9LuITa4OIUgfJvGSoSZrUAl93pVhBQBFX45FblXYegOysGml-nBg2uItmSW_CbJKD0wNiM7IAmDvInhh6Y0FeiDmfERqd9H2E2ChSG9OgYbF7SnxypxSiZ2GZNLSIaAIMTUwbkCrXmCBXY-o.UmGKhanKkQ4ibS3hThqQJqJ2CToB0i0q09wpt9sw8z0&dib_tag=se&keywords=608ZZ%2Bbearing&qid=1788135013&refinements=p_76%3A1249128011&rnid=1249126011&rps=1&sprefix=608zz%2Bbearing%2Caps%2C143&sr=8-5&th=1,Carries the free end of the pan. Without it the pan hangs off the servo shaft alone and the gearbox takes the load,Amazon,TO BUY,
5-6V buck converter,makes the servo's own 5-6v rail. 3a minimum,1,8.99,8.99,https://www.amazon.com/AKEYSRC-Converter-DC-DC-5-30V-Output/dp/B0GYJDP96Q/ref=sr_1_3?crid=1SO8RNG132G3L&dib=eyJ2IjoiMSJ9.zM4Y2Db_E6rWFV8k10_UcFdP4vdTCEY_ty9h9V5KG6GmDW_upbmxr97jF3Vh4IeQqA7LGUvu4jnIVy8537uC7yHMN4k8YIq3YWxlcUofR-zx2otSh7NLHE57cvsW6O2LBOB6dKKdQwiS72ZigZgrMpXjVKOGQANdlzju3r-unIwN8ejp72xeydEroKeR_3jNPuyHtD0o-91wmuXqP-Az4POXR3yBbzNoE_Ip7Nx24Gk.Fz2HHLC06usPAVY4JmJggZth-NDSDQ_A0OCxP6qYi68&dib_tag=se&keywords=5-6V%2Bbuck%2Bconverter&qid=1788135138&sprefix=5-6v%2Bbuck%2Bconverter%2Caps%2C167&sr=8-3&th=1,The servo gets its own supply. Sharing a regulator with the Pi means a stalling servo browns out the Pi and corrupts the SD card,Amazon,TO BUY,Must NOT share a regulator with the Pi. The two grounds meet at exactly one 0R link on the board. MG996R pulls about 2.5A stalled so anything under 3A will brown out
"M2.5, M3, M4 screws and nuts",the fasteners that hold the mechanism together,1,8.99,8.99,https://www.amazon.com/mankk-Assortment-Washers-10-9Grade-Machine/dp/B0GDFYPBFX?th=1,Holds the idler onto the pan and the Pi mount onto the plate,Hardware,TO BUY,
M2.5 x 10mm standoffs and screws,holds the hat off the pi so the two boards can't short,1,9.99,9.99,https://www.amazon.com/M2-5-Black-Nylon-Standoff-Screw/dp/B0FPMC9917/ref=sr_1_8?crid=208TGRL49OS7W&dib=eyJ2IjoiMSJ9.MTHeEMzJnBRZtZlOWPpQu86DTh4WTBpg0sL3iqy8Gck7LvSvsg8ZzqkhbEutLkU6MhRhJdYJ8x_po8_8hmJMUbuXV5lE_NqwfsNjhBJPALOzegg2qRv0L8zHnMPuds7KOAxbIhfuMTwYbuUDCIOY7zG46CF1RHQT8Y4cLCgyI49i_g2VhLaOl8T5k3T9ExUyrkG6taRphApGu415A-K7z5am_t_OTE-dH_LkxyEfA0OZcPGHup0S75CiR44Twx0DTQwvh1M_t7ze_t3BXJl6q1Sy8OiZ0KYS65crDTMhncg.hiXXhXxr2I5nTePUN43SLaq415pZfGYH1pVf-fz_8wM&dib_tag=se&keywords=M2.5%2Bx%2B10mm%2Bstandoffs%2Band%2Bscrews&qid=1788135292&s=industrial&sprefix=m2.5%2Bx%2B10mm%2Bstandoffs%2Band%2Bscrews%2Cindustrial%2C143&sr=1-8&th=1,Keeps the HAT off the Pi so nothing on either board shorts against the other,Hardware,TO BUY,58 x 23mm hole pattern
HX711,"24-bit bridge adc. sop-16, sits on the hat",1,9.03,9.03,https://www.amazon.com/SOP-16-Weighting-Integrated-Circuit-Original/dp/B07LH6S8W2/ref=sr_1_1?crid=2LJLM6DWW2GWE&dib=eyJ2IjoiMSJ9.MOmlxvpsuL7-Pa7igXBjaXnHdkaQw9clqclfThj-m86MBA5CZRJtckec4672XL_mAjdV4TaqASvW3Tr5Sm6mBRtbviOl6RP-Ize0zfgNw90UjBcEsbHev-ydpoDi3QGSJZkoTAOHzu98Qex2_yFT8Wn6y1P5LJLm6uMR0TyqLvTsIQDD3zbodMPzu1qcmHo0WQwKQ81bS-DVoa17jRjBE4ot_TElHomTAn65G6XXqzY.SzhVBizTLhpMjRosO7JSKYG7OuGPb57RmUjmeLA_a3A&dib_tag=se&keywords=HX711+SOP-16+IC&qid=1788136357&sprefix=hx711+sop-16+ic%2Caps%2C208&sr=8-1,Reads the load cell. A bare strain gauge puts out microvolts nothing else can see,LCSC,TO BUY,Buy the bare SOP-16 chip. It goes ON the HAT. Do NOT buy an HX711 breakout module
USB C Female to Micro USB Male Adapter,"lets my pi 4b supply plug into the zero. usb-c one end, micro usb the other",1,4.68,4.68,https://www.amazon.com/Adapter-Converter-Compatible-Samsung-Devices/dp/B0GR3XK1FG/ref=sr_1_17_sspa?crid=1XMTH6AI0HTVE&dib=eyJ2IjoiMSJ9.pFI3M3IbSCmatxi6sA5OcJnfrWIqvok0RJIDvWpf9hIA7U54R4pk1UUc94umISC84cSZK6l9gc9Ot1HVxdtfwM942V2kxmb-DiLX7gyOufKsNG15rJiIclZlndDAiT8i7-3PvSDymZmamvMB4aR43-wfaZOdvvdzIy02OKpXY9Hq4QxtFb6rDmO9bBEX25w5uRPhNB93_-YBif8pODhpAXzmWkcp55KMuTXdflcpA8E.WKA8xV76VV65ORjh53Kj6-NX78LwOlyaocTHWhsjaC4&dib_tag=se&keywords=usb%2Bc%2Bfemale%2Bto%2Bmicro%2Busb%2Bmale%2Badapter&nsdOptOutParam=true&qid=1788138157&sprefix=usb%2Bc%2Bfemale%2Bto%2Bmicro%2Busb%2Caps%2C131&sr=8-17-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&th=1,"Lets my existing Pi 4B supply power the Zero. The 4B supply is USB-C with a captive cable, the Zero takes micro USB",Amazon,TO BUY,"Saves buying a second power supply. Plug into the port marked PWR IN, not the OTG one next to it"
32 GB MicroSD Card,the pi's only storage. a1 rated so it loads the model quick enough,1,13.99,13.99,https://www.amazon.com/High-Speed-Performance-Compatible-Portable-Devices%EF%BC%881/dp/B0GL9L4L9P/ref=sr_1_2_sspa?crid=26K6LGXKA7AK&dib=eyJ2IjoiMSJ9.hsr1OUORqrPs9SB5beMC_bIzKCfqdptsTJapr93XINnKmE6Uxe0isjyofgTX23taQbcC84xBHHwzoCooEs3PS3bWJqjzJ-fZGbxw6QmFMhlyEzZ9jFqsba6SxgXYr-3ckujvfSR9s-lKeFp1uelgg4OVYI6ZVeP6KbDdQwjQ0R3ptefMp6rEkjSOqo4BKL3DPwXsSZxSrCOmrKAxuRAeFanjb6u_bfRwcHwiis79-V4.d0GvF-O8TETzecieieXv4i94VuVJUGyJMtQdjgRW2c4&dib_tag=se&keywords=32+gb+a1+micro+sd+card&qid=1788137711&sprefix=32+GB+A1%2Caps%2C185&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,The Pi has no onboard storage. It will not boot without one,Amazon,TO BUY,A1 rated so random reads are quick enough to load the model
Pi Zero 2 W,"the brain. 512mb, runs the whole sort loop",1,36.99,36.99,https://www.amazon.com/EC-Buying-Pi-Zero-Development/dp/B0FN4CN7TM/ref=sr_1_6?dib=eyJ2IjoiMSJ9.fCfxdNfJB1r2MGUVdw6I0uKYc2Nj_i_3smLq4JtKGJTtw-WMj6gLm56FZFduQnGvN6tmZJt50fMFiqgONstKMpGVZ6QBa-Ny5XWLOXqMG_kXr_5VhfjisOv7P7gHht7wPWePA2gm9uTlDM-mME68Pg4GKH3chWqssn6FMAM-MCm-WLLqZjn-F-GeXNyVJhmgKqfRxTSeJjhjpzPzSa_Ue5G1O9fsXuYEaFnLUtPbANI.ArdktZhzVyG1XriB9hTj5ifIfWgXm-2fyK_KTUNfl3M&dib_tag=se&keywords=Pi+Zero+2+W&qid=1788137682&sr=8-6,Runs everything - trigger capture classify actuate and log. Idles at 0.4W against the 4B's 2.7W which matters because the Pi can never sleep between items,Amazon,TO BUY,Bought bare instead of a starter kit
,,,TOTAL,195.19,,,,,
,,,,,,,,,
,,,,,,,,,
